,dim_PCA,percent_NRM,PRESS_PCA,PRESS_NRM,PRESS_diff,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff
80.0%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
80.5%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
81.0%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
81.5%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
82.0%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
82.5%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
83.0%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
83.5%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
84.0%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
84.5%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
85.0%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
85.5%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
86.0%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
86.5%,5,88.97867850208043,5975303687531.95,5975189545780.975,-114141750.97558594,151938679303.0499,62134428187.80384,4207480022693.206,455440230739.53204,109307457527.01758,97231169754.54176,66943190879.563675,61859330574.59451,39451035430.010284,723518142442.6295,151947834734.47183,62133260814.85759,4207460944860.794,455380532109.9665,109307833457.32764,97223601898.41351,66943657322.993484,61865914567.717125,39451104996.22658,723474861018.206,0.7994075876389461,0.7994107855222842,3.1978833380241767e-06
87.0%,5,88.97867850208043,5975303687531.95,5975189545780.975,-114141750.97558594,151938679303.0499,62134428187.80384,4207480022693.206,455440230739.53204,109307457527.01758,97231169754.54176,66943190879.563675,61859330574.59451,39451035430.010284,723518142442.6295,151947834734.47183,62133260814.85759,4207460944860.794,455380532109.9665,109307833457.32764,97223601898.41351,66943657322.993484,61865914567.717125,39451104996.22658,723474861018.206,0.7994075876389461,0.7994107855222842,3.1978833380241767e-06
87.5%,5,88.97867850208043,5975303687531.95,5975189545780.975,-114141750.97558594,151938679303.0499,62134428187.80384,4207480022693.206,455440230739.53204,109307457527.01758,97231169754.54176,66943190879.563675,61859330574.59451,39451035430.010284,723518142442.6295,151947834734.47183,62133260814.85759,4207460944860.794,455380532109.9665,109307833457.32764,97223601898.41351,66943657322.993484,61865914567.717125,39451104996.22658,723474861018.206,0.7994075876389461,0.7994107855222842,3.1978833380241767e-06
88.0%,5,88.97867850208043,5975303687531.95,5975189545780.975,-114141750.97558594,151938679303.0499,62134428187.80384,4207480022693.206,455440230739.53204,109307457527.01758,97231169754.54176,66943190879.563675,61859330574.59451,39451035430.010284,723518142442.6295,151947834734.47183,62133260814.85759,4207460944860.794,455380532109.9665,109307833457.32764,97223601898.41351,66943657322.993484,61865914567.717125,39451104996.22658,723474861018.206,0.7994075876389461,0.7994107855222842,3.1978833380241767e-06
88.5%,6,90.36288678891063,7881673922850.101,7881503504741.429,-170418108.671875,211647176421.97552,890694002157.1616,4372017896954.905,1491250920378.2407,103382103486.54996,171958284249.8015,36264797145.936516,38775403301.62375,41513769983.07094,524169568770.8341,211697798949.73102,890723084554.7935,4372018165925.3906,1490996378241.4287,103382176330.8449,171957209389.061,36264907857.63327,38769271134.10081,41513732759.01724,524180779599.4278,0.7684844382415325,0.7684807340609207,-3.7041806117965592e-06
89.0%,6,90.36288678891063,7881673922850.101,7881503504741.429,-170418108.671875,211647176421.97552,890694002157.1616,4372017896954.905,1491250920378.2407,103382103486.54996,171958284249.8015,36264797145.936516,38775403301.62375,41513769983.07094,524169568770.8341,211697798949.73102,890723084554.7935,4372018165925.3906,1490996378241.4287,103382176330.8449,171957209389.061,36264907857.63327,38769271134.10081,41513732759.01724,524180779599.4278,0.7684844382415325,0.7684807340609207,-3.7041806117965592e-06
89.5%,7,91.24217492494394,100383747480157.31,100566335538221.97,182588058064.65625,240507903478.9025,102213147541.68349,92073331333777.78,4814320923974.715,324996976374.73444,572676043963.4618,24702483102.33971,30196408649.80087,605493173118.9159,1595309086174.9546,240639153701.1603,102055246574.63757,92244611273151.8,4821388151043.528,324928987650.19586,572927398001.546,24702340519.23595,30183666930.395878,605448378065.8966,1599450942583.5857,0.6977662615554989,0.6977049001369592,-6.136141853974042e-05
90.0%,7,91.24217492494394,100383747480157.31,100566335538221.97,182588058064.65625,240507903478.9025,102213147541.68349,92073331333777.78,4814320923974.715,324996976374.73444,572676043963.4618,24702483102.33971,30196408649.80087,605493173118.9159,1595309086174.9546,240639153701.1603,102055246574.63757,92244611273151.8,4821388151043.528,324928987650.19586,572927398001.546,24702340519.23595,30183666930.395878,605448378065.8966,1599450942583.5857,0.6977662615554989,0.6977049001369592,-6.136141853974042e-05
90.5%,8,91.73890098124373,2929043589191.8936,2935483818085.724,6440228893.830566,80846886248.15855,64693755744.7028,1501394290312.7344,613675707355.7666,123278228753.15457,106688839458.73787,26408986690.20833,53054396085.75149,112346645524.08598,246655853018.59265,81485173742.83449,64503941395.3179,1504086173877.7468,615214606279.1365,124035635397.38152,107498608533.27591,26412822184.576923,53093982157.01967,113414804596.01826,245738069922.41653,0.8700421532237206,0.8697972557132669,-0.0002448975104536455
91.0%,9,92.12734669592817,2609594877177.7427,2599648053837.3706,-9946823340.37207,63765131340.00806,62548850205.97664,1385651084424.6655,441917265255.3037,104773184762.38055,102114036408.79776,26096921706.688393,57810877347.225075,97919520808.41496,266998004918.28165,63906458261.45969,62226944068.42344,1386132085699.0051,431446220079.4813,105218978669.75067,102502521258.23831,26105891766.971077,57688192501.07712,98630824896.31439,265789936636.6492,0.8854618163989404,0.885739314780811,0.00027749838187063336
91.5%,10,92.44975491299881,2282060711207.0317,2284895678235.7173,2834967028.685547,65849905275.8738,75897915866.2491,1102169225450.471,388151876977.6265,95362503388.1335,107521002967.01057,27768895683.351177,38485390658.432526,84993733531.40439,295860261408.4796,66137201998.68379,75318954401.3305,1101206871357.7207,388942242075.2174,95980235462.70561,108132907116.43597,27775784932.274326,41392013703.202255,85398813693.48416,294610653494.66284,0.8870059853924401,0.8868916265864168,-0.00011435880602328474
92.0%,12,92.98999129339911,2005526564006.545,2006968533215.2798,1441969208.7348633,68495223895.34952,97470360659.00049,1013228875933.0177,250893024511.95572,64842963670.4766,59018513307.427,26645587667.711884,34616707821.4064,76310912849.37946,314004393690.82,68524057306.43061,97605395320.64679,1013579966140.5443,252179056210.32358,64826930606.19204,59061643849.63561,26648835048.00661,34628810317.621574,76377404923.78233,313536433492.0964,0.8918081823223705,0.8918493091493962,4.112682702572812e-05
92.5%,14,93.41209791634036,2046010833560.3643,2048360256227.958,2349422667.59375,53238683022.767624,79058660444.70427,1108474877957.066,265812268551.55292,73529988074.09326,53177453480.1321,26363910581.704025,35714997009.47277,69170142492.59093,281469851946.2806,53211591615.33625,79171012369.32669,1111173870128.3271,266075017818.52554,73413810794.75154,53178454595.72013,26348097975.942703,35616422669.08041,69005182275.28407,281166795985.66345,0.899739024821914,0.8997075125217536,-3.151230016040785e-05
93.0%,18,93.93068686932574,2064523209690.3354,2075433647642.5928,10910437952.257324,71339905960.44995,96325733133.01154,1067959242069.9448,264776936163.4104,82021738128.76913,63808683803.07769,27318980796.391384,63688098020.14181,77097313187.21301,250186578427.92578,72932143542.78618,98057566671.00749,1074660535578.7913,265637388312.52057,82304542843.3678,63877837171.65338,27429111603.225296,64161374683.914825,77936594070.05186,248436553165.27417,0.897137160724464,0.8965093373012518,-0.0006278234232122148
93.5%,22,94.33877646298647,2172665965452.5647,2184197922844.3018,11531957391.73706,52401236886.85641,70932853485.62161,1173427818443.6975,284429045571.85516,93537459334.64551,64228795614.25953,34064162369.220657,71851649078.24104,73507547602.67519,254285397065.49188,53543132956.93873,72468768010.0664,1180626175679.021,284849013960.5204,94718067490.53741,64298799196.32919,34209708319.78068,72478745636.15993,74312033054.297,252693478540.651,0.9019698675983578,0.90151732637711,-0.00045254122124782636
94.0%,27,94.75176358480738,2181501586911.3862,2196679439524.2168,15177852612.830566,47453572395.70041,58359700796.869385,1237576283292.8232,219864031141.93256,97975094138.75374,63605415284.118004,36649728740.78434,86896173490.81413,75291480095.22504,257830107534.36536,42933694234.9873,60061435853.65226,1253268678868.9846,219546303022.20984,100896026824.57861,63683129324.563446,36648896686.91944,87715943458.61786,76693780375.33975,255231550874.36383,0.9053457399462909,0.9059967680468667,0.0006510281005758234
94.5%,34,95.24638433401414,1834650205186.5596,1842374179380.75,7723974194.19043,24523752030.574287,47638534441.49802,998579614039.9865,188560322006.67847,56105773919.33113,63543276815.74462,33861059592.089413,82606120628.63824,66109405696.58702,273122346015.43185,24633808616.406868,49166188779.102745,1004837755732.3226,188169218772.46527,56004006553.752235,63652241143.42646,34069538685.208603,83582307279.12775,67555053156.96872,270704060661.96866,0.9161719847285843,0.9159353463531191,-0.0002366383754651702
95.0%,41,95.68496458955885,1714658116731.0388,1716239640479.4753,1581523748.4365234,26220528056.57272,37892044585.374344,896417444571.4456,183188583849.50043,69521278092.51021,59853454523.14141,33228964159.043064,68501628024.97881,53435644762.56775,286398546105.9046,26335477777.846863,39270697253.56981,896752539539.2782,183089797825.72833,69903767995.6393,59919761080.20225,33421003480.199818,69009538486.40143,53804787134.57995,284732269906.0293,0.9185443577306464,0.9184069617883749,-0.00013739594227146767
95.5%,48,96.07721524690717,1663718763513.5752,1611627840230.3638,-52090923283.211426,23905185391.157124,31152705167.80781,877996809300.5233,185785132751.83282,60708772165.889114,58708521464.00388,32357225109.222393,58015957080.92214,45947263896.35006,289141191185.8666,24044571725.458946,32311096699.12916,824312922209.3228,185699393854.53293,61730946663.27493,58747791059.60522,32546932491.047527,58179552826.6677,46352210733.49765,287702421967.82684,0.9211478430741934,0.9209280274536138,-0.0002198156205795998
96.0%,57,96.52520068853454,1605923876655.4697,1602582512000.6802,-3341364654.789551,24516790104.712257,28958684560.114952,828481071797.923,192166078258.86307,53513749904.51443,58183288583.0648,31789992464.365444,51317950926.29867,41866907279.71466,295129362775.8984,24733949771.98183,29874583378.315834,823046515535.0736,192196990419.68674,54035599418.97729,58211849935.98992,31957544428.74067,52553944830.50105,42244035937.02056,293727498344.39246,0.9225545281975546,0.922538854501558,-1.567369599653201e-05
96.5%,67,96.95853488020309,1512714123104.3176,1511245788254.9766,-1468334849.3410645,21356756786.676445,29077877868.698456,766046098469.2291,193090056376.9265,52622879875.06862,55450639793.68496,29912251138.6232,37877435743.95781,38791614261.38192,288488512790.07056,21533261370.933342,30076160944.30542,763090163983.5417,193230006304.58527,53047770588.69113,55483268515.75168,30118461819.660236,38617497097.40438,39230878903.51494,286818318726.58875,0.9259265348615683,0.9258727526930105,-5.378216855778106e-05
97.0%,79,97.40960127469897,1529469015937.6108,1529126598576.0198,-342417361.59106445,20642249320.1151,28893654400.612133,784087751060.7004,191912492780.0205,51285636237.19746,55715387507.099884,28880122557.57536,41848445849.16328,37852036071.4384,288351240153.6883,20803178953.959606,29706350429.67483,782688399071.6469,191944263292.00876,51598840424.63777,55742757593.24287,29069306367.113026,42578318477.38176,38249451785.07476,286745732181.2795,0.9259078077866173,0.9258616426182511,-4.6165168366196774e-05
97.5%,92,97.83262311490041,1458760292948.855,1456604825220.3794,-2155467728.475586,20375529124.71795,25726854193.802094,733712711220.6035,189747550306.6622,49459230873.61253,54765626571.336525,26931272131.685093,38011957467.849174,34852028501.97373,285177532556.6124,20498090087.648182,26363659946.31472,731315240082.846,189593375219.13202,49633894551.39815,54790494512.14617,27077563178.015434,38638388023.400604,35095481866.95272,283598637752.5253,0.9283026492376111,0.9283196733765843,1.7024138973198433e-05
98.0%,108,98.26943034836552,1435393560015.8274,1432006627804.5093,-3386932211.318115,20309755347.1034,25664069067.035637,711379398390.9489,189765295051.63126,49454036668.01456,53117144100.484245,25639284894.899662,36961457657.60811,35221350784.57624,287881768053.5257,20422573402.61028,26190519602.285587,707959064463.659,189873565544.9376,49552519068.379906,53132747874.31045,25771785944.202496,37344080343.31182,35473384574.98814,286286386985.824,0.9291257968300451,0.9291981089685445,7.231213849934193e-05
98.5%,127,98.69119966226312,1438154631990.1692,1432717548713.642,-5437083276.5271,19766293539.218754,25430604781.504917,707501986324.8943,192883779085.5325,47826544820.97639,53032047484.05402,25380467692.337173,41323382560.53551,35229902749.58697,289779622951.5288,19853807817.867584,25911933298.758728,702899615402.5836,192159002991.11542,47907107556.672226,53035287414.979225,25508453849.425606,41544285265.53404,35508326548.39091,288389728568.31464,0.9281163519353465,0.9281859481946653,6.959625931879376e-05
99.0%,153,99.1320568588042,1478624247432.1753,1474788885933.9915,-3835361498.183838,20111430488.06804,20192130298.242542,724323874800.3627,207293630070.83218,49242289864.48934,52776936497.38685,25327305754.436794,49338280267.76225,27475575341.547924,302542794049.047,20190070521.13137,20428567669.293846,720814039193.1301,207389431718.96973,49310382126.81504,52779703627.17225,25424988877.691154,49481338569.39786,27518887181.36943,301451476449.02075,0.9268409240560007,0.9269152337140021,7.430965800137024e-05
99.5%,191,99.55783040435267,1466182272155.482,1463209021161.9028,-2973250993.5791016,19461811463.842873,22848533497.74217,727772391454.8418,212063026513.05017,44716883654.29682,52689040361.067055,24200734074.115135,37635101048.18437,27996036399.521904,296798713688.8195,19530791142.56515,23097226130.288193,724973134939.8871,212718205638.85666,44732593247.39444,52688228921.567444,24251614518.90549,37617856585.36472,28063559183.995296,295535810853.07806,0.9281922466876342,0.9282504709104689,5.822422283463524e-05
